Country;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Iraq;10165;8035;7704;6805;6593;6268;5992;6052;4635;4098;3918;1518.7421;2046.1809;2132.3823;2108.538;1996.9279;2337.5227;2337.948;2794.7864;3157.1125;3649.493;4147.6484;4631.6523;3782.4526;6061.5547;6441.41;7117.6133;7587.6055;8587.265;9268.709;10274.33;11484;12521.541;12877.205;12559.504;12574.508;14173.763;13403.638;13724.742;14203.617;11717.375;12355.587
Ireland;13614;13893;14061;13931;14435;14834;14768;15458;16313;17343;18838;19253.943;20032.719;20627.078;22004.814;24266.143;26562.908;29455.92;31908.648;35377.164;38806.5;40966.332;43012.816;44372.758;47028.863;49223.383;51296.195;52322.23;49583.14;47375.734;48623.81;48980;47360.09;48181.234;50732.348;53196.598;53686.844;55465.652;58083.45;59733.91;55134.855;57278.42
Israel;17508;18103;18155;18468;18305;18605;19160;20196;20256;20091;20829;20912.941;21531.596;21484.979;22128.805;23378.16;23979.996;24226.73;24506.16;24644.205;26058.84;25427.32;24823.553;24545.244;25210.879;25686.406;26571.256;27624.883;27857.62;27644.697;28575.531;29370;29580.836;30316.602;30906.148;31050.408;31822.875;32549.818;33227.125;33951.89;32730.943;34969.016
Italy;20959;21041;21123;21345;21868;22469;23106;23824;24743;25454;26003;26570.363;26960.611;26902.398;27668.258;28666.352;29231.275;29960.7;30649.629;31340.48;32716.98;33511.434;33780.055;33917.8;34472.13;34872.125;35713.805;36310.734;35942.938;34055.227;34765.938;35151;34010.035;33317.242;33310.703;33620.742;34120.42;34754.77;35149.824;35407.242;32385.326;34827.137
Japan;21404;21924;22440;22805;23548;24437;24992;25904;27393;28601;29949;30837.432;30977.814;30920.66;31135.428;31887.277;32784.156;33038.293;32558.188;32394.516;33210.81;33246.39;33195.402;33619.95;34313.56;34857.754;35333.113;35892.71;35496.227;33590.01;35011.402;34979;35537.438;36312.348;36440.215;37053.176;37384.56;38078.96;38403.68;38332.934;36826.64;37678.277
Kenya;1675;1647;1680;1627;1594;1604;1658;1698;1741;1761;1780;1777.7838;1724.8744;1698.2542;1729.7172;1789.8945;1851.2814;1846.3738;1889.9731;1920.834;1914.8864;1972.3811;1961.8949;1997.7769;2066.2102;2157.8416;2255.2585;2380.7764;2357.2324;2404.6296;2579.531;2712;2754.7646;2786.1372;2852.933;2921.3428;2975.4795;3020.9817;3120.4314;3207.2622;3129.5852;3292.7585
Luxembourg;24951;25136;25005;25738;27303;28032;30051;30533;33351;36442;36706;39198.3;39231.594;40179.496;40990.71;40838.566;40687.902;42311.344;44142.56;47061.11;50063.824;50527.664;51709.734;51717.03;52624.164;53262.094;54920.81;58369.703;56383.19;52731.39;54086.336;54031;53675.46;53973.395;54100.086;54251.45;55516.098;55037.188;54625.96;54751.6;53489.332;55346.676
Malaysia;5829;6095;6303;6529;6867;6626;6543;6723;7144;7634;8179;8781.209;9383.933;10131.93;10867.256;11725.093;12668.668;13344.57;12129.636;12636.607;13474.701;13307.215;13809.872;14362.155;15087.251;15651.118;16353.924;17209.584;17865.64;17430.445;18574.299;19390;20162.178;20819.164;21769.006;22550.342;23251.902;24301.559;25175.799;25986.412;24279.316;24764.65
Mali;1168;1111;1030;1057;1084;1089;1138;1138;1116;1205;1191;1186.7577;1115.406;1115.1002;1111.7854;1100.2433;1130.5096;1160.9517;1167.4326;1192.3168;1153.0461;1309.2559;1321.3389;1391.2634;1366.983;1414.7927;1438.2079;1441.2059;1460.496;1477.4183;1504.9956;1500;1449.1959;1444.1879;1505.6677;1555.8046;1602.7819;1642.5182;1673.8774;1706.0105;1638.9304;1643.0144
Mexico;9929;10538;10240;9656;9777;9785;9283;9256;9193;9392;9699;10008.551;10262.211;10357.829;10721.008;9944.953;10386.499;11030.343;11510.877;11894.203;12613.396;12565.465;12645.504;12793.956;13287.6;13655.801;14287.559;14684.728;14808.09;14026.989;14697.298;15210;15547.994;15614.781;15883.877;16235.004;16705.047;16900.13;17055.117;16802.014;15253.691;15853.376
