Country;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Japan;116807000;117661000;118480000;119307000;120083000;120837000;121482000;122069000;122578000;123069000;123478000;123964000;124425000;124829000;125178000;125472000;125757000;126057000;126400000;126631000;126843000;127149000;127445000;127718000;127761000;127773000;127854000;128001000;128063000;128047000;128070000;127833000;127629000;127445000;127276000;127141000;127076000;126972000;126811000;126633000;126261000;125681593
Kenya;16187124;16785962;17411491;18069461;18753176;19452161;20160879;20882094;21626122;22387803;23162269;23918235;24655723;25391830;26133744;26878347;27615736;28364264;29137373;29965129;30851606;31800343;32779823;33767122;34791836;35843010;36925253;38036793;39186895;40364444;41517895;42635144;43725806;44792368;45831863;46851488;47894670;48948137;49953304;50951450;51985780;53005614
Korea;38123775;38723248;39326352;39910403;40405956;40805744;41213674;41621690;42031247;42449038;42869283;43295704;43747962;44194628;44641540;45092991;45524681;45953580;46286503;46616677;47008111;47370164;47644736;47892330;48082519;48184561;48438292;48683638;49054708;49307835;49554112;49936638;50199853;50428893;50746659;51014947;51217803;51361911;51585058;51764822;51836239;51744876
Luxembourg;364150;365225;365525;365622;365998;366706;368355;370750;373450;377100;381850;387000;392175;397475;402925;408625;414225;419450;424700;430475;436300;441525;446175;451630;458095;465158;472637;479993;488650;497783;506953;518347;530946;543360;556319;569604;582014;596336;607950;620001;630419;640064
Malaysia;13215707;13564594;13921029;14292862;14686454;15108135;15558740;16033103;16524616;17020143;17517054;18017464;18526708;19050077;19588703;20136888;20689051;21249178;21810542;22368655;22945150;23542517;24142445;24739411;25333247;25923536;26509413;27092604;27664296;28217204;28717731;29184133;29660212;30134807;30606459;31068833;31526418;31975806;32399271;32804020;33199993;33573874
Mali;7372581;7532864;7696349;7863944;8030099;8187651;8334588;8474329;8617474;8774122;8945026;9123969;9310572;9506510;9711797;9921094;10131906;10359301;10620475;10916993;11239101;11583824;11952660;12342165;12751995;13180551;13623541;14080912;14551117;15032635;15529181;16039734;16514687;17004033;17551814;18112907;18700106;19311355;19934298;20567424;21224040;21904983
Mexico;67705186;69233769;70656783;72080310;73489654;74872006;76224365;77553504;78892015;80233749;81720428;83351595;84993164;86648447;88314424;89969572;91586555;93183094;94767284;96334810;97873442;99394288;100917081;102429341;103945813;105442402;106886790;108302973;109684489;111049428;112532401;114150481;115755909;117290686;118755887;120149897;121519221;122839258;124013861;125085311;125998302;126705138
Nepal;15600442;15969792;16347124;16740664;17141610;17540571;17936926;18326204;18720745;19145077;19616530;20130779;20702133;21267359;21794751;22305571;22783969;23249417;23703328;24143157;24559500;24956071;25332178;25682908;26003965;26285110;26518971;26713655;26881544;27026941;27161567;27266399;27330694;27381555;27462106;27610325;27861186;28183426;28506712;28832496;29348627;30034989
Netherlands;14149800;14247208;14312690;14367070;14424211;14491632;14572278;14665037;14760094;14848907;14951510;15069798;15184166;15290368;15382838;15459006;15530498;15610650;15707209;15812088;15925513;16046180;16148929;16225302;16281779;16319868;16346101;16381696;16445593;16530388;16615394;16693074;16754962;16804432;16865008;16939923;17030314;17131296;17231624;17344874;17441500;17533044
New Zealand;3112900;3124900;3156100;3199300;3227100;3247100;3246300;3274400;3283400;3299200;3329800;3495100;3531700;3572200;3620000;3673400;3732000;3781300;3815000;3835100;3857700;3880500;3948500;4027200;4087500;4133900;4184600;4223800;4259800;4302600;4350700;4384000;4408100;4442100;4516500;4609400;4714100;4813600;4900600;4979200;5090200;5111400
Nigeria;72951439;75175387;77388067;79351586;81337553;83585251;85804185;88044187;90351467;92744064;95214257;97685360;100182045;102775465;105456121;108187610;110956183;113791181;116690527;119695565;122851984;126152678;129583026;133119801;136756848;140490722;144329764;148294028;152382506;156595758;160952853;165463745;170075932;174726123;179379016;183995785;188666931;193495907;198387623;203304492;208327405;213401323
Norway;4085620;4099702;4114787;4128432;4140099;4152516;4167354;4186905;4209488;4226901;4241473;4261732;4286401;4311991;4336613;4359184;4381336;4405157;4431464;4461913;4490967;4513751;4538159;4564855;4591910;4623291;4660677;4709153;4768212;4828726;4889252;4953088;5018573;5079623;5137232;5188607;5234519;5276968;5311916;5347896;5379475;5408320
